USN,10CS32_1,10CS32_2,10CS32_3,10CS33_1,10CS33_2,10CS33_3,10CS34_1,10CS34_2,10CS34_3,10CS35_1,10CS35_2,10CS35_3,10CS36_1,10CS36_2,10CS36_3,10CS37_1,10CS37_2,10CS37_3,10CS38_1,10CS38_2,10CS38_3,10CS31_1,10CS31_2,10CS31_3,Total,Result
1BY14IS001,16,19,35,18,38,56,18,25,43,13,37,50,17,35,52,23,24,27,17,30,47,18,44,62,392,FL
1BY14IS002,15,54,69,17,35,52,17,46,63,16,39,55,16,47,63,23,47,70,19,44,63,21,62,83,518,SC
1BY14IS003,15,37,52,15,22,37,15,35,50,15,38,53,15,18,33,23,34,57,15,44,59,15,52,67,408,FL
1BY14IS004,20,60,80,23,51,74,23,44,67,24,44,68,23,65,88,25,43,68,23,49,72,24,62,86,603,FC
1BY14IS005,10,45,63,15,37,52,15,27,42,21,38,59,20,56,76,24,49,73,19,40,59,18,45,63,487,FL
1BY14IS006,16,42,58,15,46,61,19,50,69,16,48,64,20,71,91,24,45,69,19,35,54,22,80,102,568,FC
1BY14IS007,21,50,71,22,48,70,22,65,87,22,67,89,23,61,84,25,49,74,24,47,71,24,90,114,660,FCD
1BY14IS008,20,69,89,25,68,93,19,51,70,19,62,81,24,72,96,24,48,72,17,49,66,22,94,116,683,FCD
1BY14IS009,20,51,71,19,35,54,19,44,63,20,51,71,17,49,66,25,33,58,20,42,62,18,65,83,528,SC
1BY14IS010,17,53,70,19,45,64,20,49,69,21,49,70,19,44,63,23,37,60,19,40,59,22,70,92,547,FC
1BY14IS011,23,66,89,17,59,76,24,73,97,17,57,74,19,61,80,23,50,73,23,47,70,25,100,125,684,FCD
1BY14IS012,23,70,93,24,61,85,24,84,108,25,71,96,25,56,81,23,47,70,23,44,67,25,76,101,701,FC
1BY14IS013,19,59,78,17,43,60,20,66,86,21,63,84,18,57,75,23,37,60,23,45,68,20,63,83,594,FL
1BY14IS014,23,77,100,24,64,88,25,85,110,24,73,97,22,61,83,25,49,74,25,49,74,25,87,112,738,FC
1BY14IS015,16,52,68,20,52,72,21,46,67,22,54,76,16,56,72,23,43,66,24,46,70,21,79,100,591,FC
1BY14IS016,17,35,52,17,35,52,15,43,58,19,50,69,16,45,61,23,13,36,17,30,47,15,60,75,450,FL
1BY14IS017,15,35,50,18,46,64,17,54,71,15,57,72,17,56,73,24,47,71,24,37,61,19,65,84,546,FC
1BY14IS018,18,36,54,22,35,57,22,72,94,23,59,82,22,67,89,24,45,69,23,40,63,23,64,87,595,FC
1BY14IS019,15,18,33,17,30,47,15,36,51,15,31,46,15,29,44,22,36,58,13,25,38,15,29,44,361,FL
1BY14IS020,17,36,53,16,58,74,17,50,67,22,55,77,17,66,83,23,48,71,17,45,62,21,66,87,574,FC
1BY14IS021,15,22,37,19,37,56,18,37,55,18,48,66,18,60,78,24,42,66,23,45,68,20,41,61,487,FL
1BY14IS022,20,49,69,25,60,85,25,68,93,24,61,85,24,73,97,25,50,75,20,43,63,24,73,97,664,FCD
1BY14IS024,15,25,40,15,45,60,16,59,75,20,53,73,20,55,75,24,45,69,19,40,59,15,52,67,518,FL
1BY14IS025,19,35,54,18,52,70,18,51,69,23,58,81,18,69,87,24,42,66,20,42,62,18,63,81,570,FC
1BY14IS026,23,42,65,24,51,75,24,51,75,24,45,69,23,72,95,25,48,73,24,47,71,22,70,92,615,FC
1BY14IS027,25,60,85,25,65,90,25,76,101,23,72,95,23,73,96,25,49,74,25,49,74,25,68,93,708,FCD
1BY14IS029,16,19,35,15,45,60,18,36,54,15,18,33,15,25,40,22,12,34,17,35,52,17,52,69,377,FL
1BY14IS030,15,59,74,17,35,52,21,57,78,20,49,69,22,64,86,25,42,67,21,48,69,18,50,68,563,FC
1BY14IS031,25,44,69,25,62,87,25,55,80,24,49,73,25,81,106,25,50,75,24,49,73,23,70,93,656,FCD
1BY14IS032,22,55,77,20,54,74,22,40,62,20,44,64,23,66,89,24,49,73,24,49,73,22,52,74,586,FC
1BY14IS033,19,42,61,15,50,65,16,35,51,15,43,58,21,52,73,24,45,69,22,40,62,18,51,69,508,SC
1BY14IS034,16,39,55,15,35,50,16,43,59,21,52,73,17,36,53,24,45,69,17,30,47,18,54,72,478,SC
1BY14IS035,21,28,49,17,44,61,20,45,65,18,48,66,15,35,50,24,36,60,16,43,59,21,61,82,492,FL
1BY14IS036,21,43,64,20,50,70,25,51,76,17,63,80,23,75,98,24,40,64,23,47,70,19,81,100,622,FC
1BY14IS037,15,30,45,15,27,42,16,35,51,15,41,56,15,23,38,22,30,52,14,4,18,17,64,81,383,FL
1BY14IS038,22,62,81,25,56,81,22,61,83,20,56,76,24,77,101,25,48,73,23,46,69,25,74,99,666,FCD
1BY14IS039,19,42,61,18,44,62,19,41,60,21,53,74,21,86,107,24,46,70,23,47,70,21,73,94,598,FC
1BY14IS040,17,46,63,20,50,70,20,54,74,23,64,87,17,90,107,23,39,62,20,46,66,22,65,87,616,FC
1BY14IS041,15,26,41,18,40,58,22,46,68,22,57,79,17,57,74,24,37,61,20,40,60,24,35,59,500,FL
1BY14IS042,25,60,85,25,59,84,25,78,103,23,59,82,20,76,96,24,46,70,25,48,73,25,73,98,691,FCD
1BY14IS043,15,35,50,19,48,67,21,50,71,15,42,57,20,61,81,25,43,68,21,35,56,15,68,83,533,FC
1BY14IS044,16,30,46,15,30,45,18,59,77,15,35,50,15,46,61,22,35,57,20,44,64,20,35,55,455,FL
1BY14IS045,23,67,90,25,47,72,24,58,82,24,56,80,23,82,105,24,48,72,24,48,72,24,83,107,680,FCD
1BY14IS046,25,55,80,25,69,94,25,83,108,25,70,95,23,78,101,25,48,73,25,48,73,25,93,118,742,FCD
1BY14IS047,24,35,61,24,47,71,23,59,82,24,59,83,21,76,97,24,49,73,24,48,72,25,81,106,645,FCD
1BY14IS048,15,37,50,15,36,51,17,26,43,10,40,50,9,60,69,23,30,53,18,46,64,17,64,81,461,FL
1BY14IS049,16,48,64,20,58,78,24,58,82,20,47,67,24,53,77,23,49,72,22,45,67,24,87,111,618,FC
1BY14IS050,24,49,73,25,56,81,25,78,103,24,67,91,23,60,83,24,48,72,23,48,71,24,74,98,672,FCD
1BY14IS051,15,22,37,16,39,55,15,35,50,15,27,42,15,46,61,22,33,55,14,45,59,15,44,59,418,FL
1BY14IS052,23,38,61,24,63,87,24,90,114,23,66,89,22,69,91,25,48,73,25,48,73,24,95,119,707,FCD
1BY14IS054,22,44,66,24,44,68,23,43,66,24,56,80,19,62,81,23,48,71,23,47,70,24,66,90,592,FC
1BY14IS055,20,60,80,24,41,65,24,46,70,21,38,59,23,60,83,23,48,71,24,40,64,25,59,84,576,FC
1BY14IS056,22,47,69,24,48,72,22,74,96,25,64,89,25,68,93,25,48,73,24,38,62,25,76,101,655,FCD
1BY14IS057,15,42,57,17,60,77,20,48,68,19,35,54,17,46,63,24,48,72,21,45,66,19,43,62,519,SC
1BY14IS058,15,25,40,19,62,81,19,62,81,24,58,82,22,59,81,22,47,69,18,30,48,25,73,98,580,FL
1BY14IS059,24,67,91,24,57,81,25,75,100,25,79,104,24,63,87,25,48,73,25,47,72,25,100,125,733,FCD
1BY14IS061,19,55,74,22,42,64,23,49,72,22,67,89,21,57,78,25,48,73,22,42,64,21,72,93,607,FC
1BY14IS062,24,72,96,25,67,92,25,75,100,25,75,100,24,79,103,25,48,73,25,49,74,25,83,108,746,FCD
1BY14IS063,15,35,50,16,35,51,18,39,57,19,55,74,15,37,52,22,30,52,19,38,57,16,37,53,446,FL
1BY14IS064,18,60,78,17,46,63,18,41,59,20,56,76,24,58,82,23,48,71,21,40,61,18,67,85,575,FC
1BY14IS065,15,37,52,20,51,71,20,40,60,22,74,96,16,42,58,25,48,73,20,47,67,23,64,87,564,FC
1BY14IS067,23,58,81,23,50,73,24,56,80,25,65,90,25,74,99,25,49,74,25,48,73,25,62,87,657,FCD
1BY14IS069,16,24,40,15,60,75,15,26,41,15,65,80,17,45,62,23,46,69,18,40,58,17,78,95,520,FL
1BY14IS070,15,36,51,16,60,76,17,39,56,15,66,81,15,59,74,23,48,71,22,35,57,19,68,87,553,FC
