USN,10CS42_2,10CS42_1,10CS42_3,10CS43_2,10CS43_1,10CS43_3,10CS44_2,10CS44_1,10CS44_3,10CS45_2,10CS45_1,10CS45_3,10CS46_2,10CS46_1,10CS46_3,10CSL47_2,10CSL47_1,10CSL47_3,10CSL48_2,10CSL48_1,10CSL48_3,10CS41_2,10CS41_1,10CS41_3,Total,Result
1BY14IS001,35,22,57,37,16,53,26,15,41,24,15,39,27,15,42,39,23,62,26,15,41,14,18,32,53,FL
1BY14IS002,43,15,58,73,18,91,39,19,58,27,17,44,58,22,80,47,24,71,38,19,57,71,17,88,78,FL
1BY14IS003,19,16,35,42,15,57,37,16,53,9,15,24,17,16,33,20,23,43,25,15,40,49,15,64,93,FL
1BY14IS004,50,25,75,83,25,108,65,22,87,42,21,63,58,23,81,41,25,66,47,21,68,76,23,99,647,FCD
1BY14IS005,38,19,57,58,20,78,45,17,62,39,16,55,40,18,58,35,24,59,35,21,56,35,15,50,77,SC
1BY14IS006,41,21,62,70,20,90,53,17,70,43,16,59,40,23,63,30,24,54,35,17,52,69,19,88,540,FC
1BY14IS007,61,25,86,77,25,102,48,21,69,43,21,64,50,24,74,48,24,72,45,21,66,53,25,78,611,FC
1BY14IS008,57,24,81,89,23,112,51,20,71,48,20,68,64,24,88,48,25,73,48,23,71,69,23,92,656,FCD
1BY14IS009,40,19,59,70,20,90,49,21,70,43,18,61,48,21,69,46,25,71,41,23,64,56,17,73,557,FC
1BY14IS010,28,21,49,68,17,85,38,15,53,35,17,52,50,17,67,37,24,61,45,21,66,51,15,66,499,FL
1BY14IS011,64,24,88,68,20,88,43,22,65,53,22,75,70,21,91,48,23,71,48,25,73,92,25,117,668,FCD
1BY14IS012,51,24,75,76,25,101,53,24,77,58,24,82,50,25,75,40,25,65,48,23,71,78,25,103,649,FCD
1BY14IS013,43,20,63,74,21,95,44,16,60,58,19,77,58,19,77,47,24,71,47,21,68,55,18,73,584,FC
1BY14IS014,61,22,83,79,24,103,54,22,76,38,20,58,72,25,97,42,25,67,46,25,71,91,25,116,671,FCD
1BY14IS015,55,19,74,63,21,84,38,18,56,40,16,56,50,16,66,48,24,72,29,21,50,59,17,76,534,SC
1BY14IS016,35,20,55,63,18,81,46,16,62,35,16,51,44,20,64,23,24,47,34,20,54,23,15,38,50,FL
1BY14IS017,59,24,83,54,15,69,35,15,50,40,17,57,57,20,77,46,24,70,43,24,67,81,20,101,574,FC
